address,category
0xf9a5139e42c3ca13d5b24d23ab2b18c278805dc4,Phishing
0x8cf893f11f6037b14f0f827b9ed6aeef38931fb4,Phishing
0x893676c4a94f6ecdc33a18438bbdcfe9e6c68a9a,Phishing
0x05dd62c007cde143b402fa5da3937c40c70b4b14,Phishing
0x0dcc89f3091d3ef66e00fb595ed0fafef4434192,Phishing
0x2a7d04018d7295d8069ec9721ee415c4bdc57909,Phishing
0x1c2fb401d3dc4fd8131ccfc4589f281d58921402,Phishing
0x88698a2ff09506596a88a1af9d103a420ba46a3e,Phishing
0x05e3650bfc907cc1b3c774f0c053c8b990ce1a4b,Phishing
0x801d03f4d053242afbc2949c141bab4270ca6707,Phishing
0xb71df0dbbb9754c1aa9115253f4ebb7ef3f8a57c,Phishing
0x8374aa52bf36eabca06e33c4163a081f53e39aa3,Phishing
0x49311a81f5f5df6c109599ed5d7413d85b8bca18,Phishing
0x3aa65f17cde339df49afd2f88b3c8495842d5fb0,Phishing
0x37c81cc9ff71d0f97849a947bf22e8e529b72230,Phishing
0xef57aa4b57587600fc209f345fe0a2687bc26985,Scamming
0xb7c4a4341c0a03460b6cec4fa997dd2d748ce281,Phishing
0x3639b8b8eda816b2cb62b65159a183972a3cf863,Phishing
0xd3d7c71e4c5b1ff2f42fbb9b4a21f3373aa8b3b0,Phishing
0xaf31bf4fa017768e6426308cf17e16d633700265,Phishing
0xd055610c2d5151adb3eaf994e08abe45dee936e0,Phishing
0x8dcdb7fc9f541825ba57fb47d5204317fc609590,Phishing
0xef6805af393c34fe772f8d827a5d26685215612a,Phishing
0x62404bfb3e1c464f17e3af0c139e39d0703ae4a1,Phishing
0x9a95f2ca24d1dcb01048e0623f63f9d174237deb,Phishing
0x071cf579507dd0661845694f709e68cf7ea506a4,Phishing
0x1b42bf30cd988ad20500ce47cce52098576ec2a2,Phishing
0xa2896b45f8bd313b777f1027724da1b5f2205a58,Phishing
0x1aef1e14108786e0b049f37758529d866cc3c7e6,Phishing
0xab215957873deadd9512fbde29e6c12bea1dd1a1,Phishing
0xe10c24ca7bf18640fcb35e059919348891922a3b,Phishing
0xb9ae74beafe4025cc0fcfb5e190169f2d7f0b563,Phishing
0x897757cba67eadb66d40e45c6748e27d0e67b52a,Phishing
0x09faf25e57abd0a401bb5a2341d7f926c389f8d1,Phishing
0x3853ba76ec6ae97818e2d0e0839c9eda6c396690,Phishing
0x33f6ee23ee223c4558a95bf4c0e9f5ed21e06319,Phishing
0x501577cd4865d7d50664a1519a79f1c0e7069154,Phishing
0x22374a2e9e19bcea56e64f9de3329670cd1a458c,Phishing
0x619f18aec5f8eef483fbfe654a269f1186dda915,Phishing
